comuna;region;year;month;day;str_date;n_contadores;count_1;count_2
Temuco;9;2018;1;15;15-1-2018;6;3949;0
VILLARICA;9;2018;1;15;15-1-2018;4;546;0
TEMUCO;9;2018;1;15;15-1-2018;10;4149;0
VICTORIA;9;2018;1;15;15-1-2018;3;788;0
PUNTA ARENAS;12;2018;1;15;15-1-2018;6;613;0
PUERTO NATALES;12;2018;1;15;15-1-2018;6;716;0
ANTOFAGASTA;2;2018;1;15;15-1-2018;4;790;0
CALAMA;2;2018;1;15;15-1-2018;7;2149;0
LA SERENA;4;2018;1;15;15-1-2018;3;616;0
TALAGANTE;13;2018;1;15;15-1-2018;3;951;0
BUIN;13;2018;1;15;15-1-2018;1;735;0
PUERTO MONTT;10;2018;1;15;15-1-2018;4;609;0
COPIAPO;3;2018;1;15;15-1-2018;8;2224;0
SANTA CRUZ;6;2018;1;15;15-1-2018;1;350;0
RANCAGUA;6;2018;1;15;15-1-2018;1;567;0
PUERTO AYSÉN;11;2018;1;15;15-1-2018;12;817;0
VALDIVIA;14;2018;1;16;16-1-2018;3;551;0
HUALPÉN;8;2018;1;16;16-1-2018;2;196;0
TALCAHUANO;8;2018;1;16;16-1-2018;3;841;0
LOS ANGELES;8;2018;1;16;16-1-2018;2;922;0
CONCEPCION;8;2018;1;16;16-1-2018;2;1619;0
CORONEL;8;2018;1;16;16-1-2018;2;953;0
ARICA;15;2018;1;16;16-1-2018;7;2307;0
Temuco;9;2018;1;16;16-1-2018;6;3996;0
VILLARICA;9;2018;1;16;16-1-2018;4;638;0
TEMUCO;9;2018;1;16;16-1-2018;10;4304;0
VICTORIA;9;2018;1;16;16-1-2018;3;860;0
PUNTA ARENAS;12;2018;1;16;16-1-2018;6;693;0
PUERTO NATALES;12;2018;1;16;16-1-2018;6;823;0
ANTOFAGASTA;2;2018;1;16;16-1-2018;4;788;0
CALAMA;2;2018;1;16;16-1-2018;7;2415;0
LA SERENA;4;2018;1;16;16-1-2018;3;645;0
TALAGANTE;13;2018;1;16;16-1-2018;3;795;0
BUIN;13;2018;1;16;16-1-2018;1;607;0
PUERTO MONTT;10;2018;1;16;16-1-2018;4;603;0
COPIAPO;3;2018;1;16;16-1-2018;8;2219;0
SANTA CRUZ;6;2018;1;16;16-1-2018;1;377;0
RANCAGUA;6;2018;1;16;16-1-2018;1;593;0
PUERTO AYSÉN;11;2018;1;16;16-1-2018;12;524;0
VALDIVIA;14;2018;1;17;17-1-2018;3;499;0
HUALPÉN;8;2018;1;17;17-1-2018;2;154;0
TALCAHUANO;8;2018;1;17;17-1-2018;3;759;0
LOS ANGELES;8;2018;1;17;17-1-2018;2;903;0
CONCEPCION;8;2018;1;17;17-1-2018;2;1651;0
CORONEL;8;2018;1;17;17-1-2018;2;906;0
ARICA;15;2018;1;17;17-1-2018;7;2354;0
Temuco;9;2018;1;17;17-1-2018;6;3982;0
VILLARICA;9;2018;1;17;17-1-2018;4;489;0
TEMUCO;9;2018;1;17;17-1-2018;10;4683;0
VICTORIA;9;2018;1;17;17-1-2018;3;475;0
PUNTA ARENAS;12;2018;1;17;17-1-2018;6;754;0
PUERTO NATALES;12;2018;1;17;17-1-2018;6;523;0
ANTOFAGASTA;2;2018;1;17;17-1-2018;4;853;0
CALAMA;2;2018;1;17;17-1-2018;7;2384;0
LA SERENA;4;2018;1;17;17-1-2018;3;598;0
TALAGANTE;13;2018;1;17;17-1-2018;3;1031;0
BUIN;13;2018;1;17;17-1-2018;1;752;0
PUERTO MONTT;10;2018;1;17;17-1-2018;4;617;0
COPIAPO;3;2018;1;17;17-1-2018;8;2190;0
SANTA CRUZ;6;2018;1;17;17-1-2018;1;378;0
RANCAGUA;6;2018;1;17;17-1-2018;1;571;0
PUERTO AYSÉN;11;2018;1;17;17-1-2018;12;494;0
VALDIVIA;14;2018;1;18;18-1-2018;3;486;0
HUALPÉN;8;2018;1;18;18-1-2018;2;160;0
TALCAHUANO;8;2018;1;18;18-1-2018;3;728;0
LOS ANGELES;8;2018;1;18;18-1-2018;2;792;0
CONCEPCION;8;2018;1;18;18-1-2018;2;1588;0
CORONEL;8;2018;1;18;18-1-2018;2;848;0
ARICA;15;2018;1;18;18-1-2018;7;2229;0
Temuco;9;2018;1;18;18-1-2018;6;3889;0
VILLARICA;9;2018;1;18;18-1-2018;4;550;0
TEMUCO;9;2018;1;18;18-1-2018;10;4137;0
VICTORIA;9;2018;1;18;18-1-2018;3;847;0
PUNTA ARENAS;12;2018;1;18;18-1-2018;6;716;0
PUERTO NATALES;12;2018;1;18;18-1-2018;6;643;0
ANTOFAGASTA;2;2018;1;18;18-1-2018;4;740;0
CALAMA;2;2018;1;18;18-1-2018;7;2487;0
LA SERENA;4;2018;1;18;18-1-2018;3;558;0
TALAGANTE;13;2018;1;18;18-1-2018;3;1029;0
BUIN;13;2018;1;18;18-1-2018;1;861;0
PUERTO MONTT;10;2018;1;18;18-1-2018;4;634;0
COPIAPO;3;2018;1;18;18-1-2018;8;2159;0
SANTA CRUZ;6;2018;1;18;18-1-2018;1;326;0
RANCAGUA;6;2018;1;18;18-1-2018;1;609;0
PUERTO AYSÉN;11;2018;1;18;18-1-2018;12;556;0
VALDIVIA;14;2018;1;19;19-1-2018;3;452;0
HUALPÉN;8;2018;1;19;19-1-2018;2;168;0
TALCAHUANO;8;2018;1;19;19-1-2018;3;689;0
LOS ANGELES;8;2018;1;19;19-1-2018;2;775;0
CONCEPCION;8;2018;1;19;19-1-2018;2;1369;0
CORONEL;8;2018;1;19;19-1-2018;2;797;0
ARICA;15;2018;1;19;19-1-2018;7;2325;0
Temuco;9;2018;1;19;19-1-2018;6;3622;0
VILLARICA;9;2018;1;19;19-1-2018;4;506;0
TEMUCO;9;2018;1;19;19-1-2018;10;3746;0
VICTORIA;9;2018;1;19;19-1-2018;3;847;0
PUNTA ARENAS;12;2018;1;19;19-1-2018;6;602;0
PUERTO NATALES;12;2018;1;19;19-1-2018;6;673;0
ANTOFAGASTA;2;2018;1;19;19-1-2018;4;731;0
CALAMA;2;2018;1;19;19-1-2018;7;2255;0
LA SERENA;4;2018;1;19;19-1-2018;3;566;0
TALAGANTE;13;2018;1;19;19-1-2018;3;1082;0
BUIN;13;2018;1;19;19-1-2018;1;813;0
PUERTO MONTT;10;2018;1;19;19-1-2018;4;507;0
COPIAPO;3;2018;1;19;19-1-2018;8;2181;0
SANTA CRUZ;6;2018;1;19;19-1-2018;1;331;0
RANCAGUA;6;2018;1;19;19-1-2018;1;560;0
PUERTO AYSÉN;11;2018;1;19;19-1-2018;12;769;0
VALDIVIA;14;2018;1;20;20-1-2018;3;344;0
HUALPÉN;8;2018;1;20;20-1-2018;2;156;0
TALCAHUANO;8;2018;1;20;20-1-2018;3;622;0
LOS ANGELES;8;2018;1;20;20-1-2018;2;610;0
CONCEPCION;8;2018;1;20;20-1-2018;2;1033;0
CORONEL;8;2018;1;20;20-1-2018;2;655;0
ARICA;15;2018;1;20;20-1-2018;7;1617;0
Temuco;9;2018;1;20;20-1-2018;6;2828;0
VILLARICA;9;2018;1;20;20-1-2018;4;510;0
TEMUCO;9;2018;1;20;20-1-2018;10;3218;0
VICTORIA;9;2018;1;20;20-1-2018;3;566;0
PUNTA ARENAS;12;2018;1;20;20-1-2018;6;456;0
PUERTO NATALES;12;2018;1;20;20-1-2018;6;579;0
ANTOFAGASTA;2;2018;1;20;20-1-2018;4;627;0
CALAMA;2;2018;1;20;20-1-2018;7;2119;0
LA SERENA;4;2018;1;20;20-1-2018;3;401;0
TALAGANTE;13;2018;1;20;20-1-2018;3;918;0
BUIN;13;2018;1;20;20-1-2018;1;687;0
PUERTO MONTT;10;2018;1;20;20-1-2018;4;353;0
COPIAPO;3;2018;1;20;20-1-2018;8;1377;0
SANTA CRUZ;6;2018;1;20;20-1-2018;1;230;0
